,Country/Region,Total_Cases,Deaths,Recovered_Cases,Active_Cases,Serious_Cases,Total_Test,Cases_per_million,Deaths_per_million
73,Cameroon,820.0,12.0,98.0,710.0,0.0,0.0,31.0,0.5
74,Bangladesh,803.0,39.0,42.0,722.0,1.0,11223.0,5.0,0.2
75,Slovakia,769.0,2.0,107.0,660.0,5.0,27426.0,141.0,0.4
76,Oman,727.0,4.0,124.0,599.0,3.0,0.0,142.0,0.8
77,Diamond Princess,712.0,11.0,619.0,82.0,10.0,0.0,0.0,0.0
78,Tunisia,707.0,31.0,43.0,633.0,85.0,11238.0,60.0,3.0
79,Bulgaria,676.0,31.0,71.0,574.0,36.0,18502.0,97.0,4.0
80,Cuba,669.0,18.0,92.0,559.0,11.0,15057.0,59.0,2.0
81,Afghanistan,665.0,21.0,32.0,612.0,0.0,0.0,17.0,0.5
82,Latvia,653.0,5.0,16.0,632.0,2.0,28776.0,346.0,3.0
83,Andorra,638.0,29.0,128.0,481.0,17.0,1673.0,8257.0,375.0
84,Cyprus,633.0,11.0,65.0,557.0,8.0,17923.0,524.0,9.0
85,Lebanon,632.0,20.0,80.0,532.0,34.0,15408.0,93.0,3.0
86,Costa Rica,595.0,3.0,56.0,536.0,14.0,6762.0,117.0,0.6
87,Ivory Coast,574.0,5.0,85.0,484.0,0.0,0.0,22.0,0.2
88,Ghana,566.0,8.0,4.0,554.0,2.0,37954.0,18.0,0.3
89,Niger,529.0,12.0,75.0,442.0,0.0,4353.0,22.0,0.5
90,Burkina Faso,497.0,27.0,161.0,309.0,0.0,0.0,24.0,1.0
91,Uruguay,480.0,0.0,231.0,249.0,15.0,8774.0,138.0,2.0
92,Albania,467.0,23.0,232.0,212.0,7.0,4070.0,162.0,8.0
93,Channel Islands,431.0,9.0,48.0,374.0,0.0,3320.0,2479.0,52.0
94,Kyrgyzstan,419.0,5.0,67.0,347.0,5.0,9618.0,64.0,0.8
95,Honduras,397.0,25.0,7.0,365.0,10.0,1600.0,40.0,3.0
96,Taiwan,393.0,6.0,114.0,273.0,0.0,47215.0,17.0,0.3
97,Jordan,389.0,7.0,201.0,181.0,5.0,20500.0,38.0,0.7
98,Réunion,389.0,0.0,40.0,349.0,3.0,0.0,434.0,0.0
99,Malta,384.0,3.0,44.0,337.0,4.0,17058.0,870.0,7.0
100,San Marino,356.0,35.0,53.0,268.0,14.0,846.0,10492.0,1032.0
101,Bolivia,330.0,27.0,2.0,301.0,3.0,2185.0,28.0,2.0
102,Mauritius,324.0,9.0,42.0,273.0,3.0,7077.0,255.0,7.0
103,Nigeria,323.0,10.0,85.0,228.0,2.0,5000.0,2.0,0.05
104,Senegal,291.0,2.0,178.0,111.0,1.0,0.0,17.0,0.1
105,Palestine,290.0,2.0,58.0,230.0,0.0,17329.0,57.0,0.4
106,Montenegro,273.0,3.0,5.0,265.0,7.0,2869.0,435.0,5.0
107,Georgia,266.0,3.0,67.0,196.0,6.0,3271.0,67.0,0.8
108,Vietnam,265.0,0.0,145.0,120.0,8.0,121821.0,3.0,0.0
109,Guinea,250.0,0.0,17.0,233.0,0.0,0.0,19.0,0.0
110,DRC,235.0,20.0,17.0,198.0,0.0,0.0,3.0,0.2
111,Isle of Man,232.0,2.0,131.0,99.0,13.0,2030.0,2728.0,24.0
112,Sri Lanka,214.0,7.0,56.0,151.0,1.0,4525.0,10.0,0.3
113,Djibouti,214.0,2.0,36.0,176.0,0.0,4451.0,217.0,2.0
114,Kenya,197.0,8.0,25.0,164.0,2.0,7449.0,4.0,0.1
115,Mayotte,196.0,3.0,59.0,134.0,3.0,1350.0,718.0,11.0
116,Faeroe Islands,184.0,0.0,157.0,27.0,0.0,5509.0,3766.0,0.0
117,Venezuela,181.0,9.0,93.0,79.0,6.0,181335.0,6.0,0.3
118,Martinique,157.0,6.0,50.0,101.0,19.0,0.0,418.0,16.0
119,Guatemala,155.0,5.0,19.0,131.0,3.0,1134.0,9.0,0.3
120,Paraguay,147.0,6.0,22.0,119.0,1.0,2262.0,21.0,0.8
121,Guadeloupe,143.0,8.0,67.0,68.0,13.0,0.0,357.0,20.0
122,El Salvador,137.0,6.0,22.0,109.0,2.0,6729.0,21.0,0.9
123,Brunei ,136.0,1.0,107.0,28.0,2.0,10167.0,311.0,2.0
124,Gibraltar,129.0,0.0,84.0,45.0,1.0,1558.0,3829.0,0.0
125,Rwanda,126.0,0.0,25.0,101.0,0.0,1966.0,10.0,0.0
126,Cambodia,122.0,0.0,77.0,45.0,1.0,5768.0,7.0,0.0
127,Trinidad and Tobago,113.0,8.0,16.0,89.0,0.0,1126.0,81.0,6.0
128,Madagascar,106.0,0.0,20.0,86.0,1.0,0.0,4.0,0.0
129,Mali,105.0,9.0,22.0,74.0,0.0,0.0,5.0,0.4
130,Monaco,93.0,1.0,6.0,86.0,5.0,0.0,2370.0,25.0
131,Aruba,92.0,0.0,32.0,60.0,1.0,1145.0,862.0,0.0
132,French Guiana,86.0,0.0,51.0,35.0,1.0,0.0,288.0,0.0
133,Liechtenstein,79.0,1.0,55.0,23.0,0.0,900.0,2072.0,26.0
134,Togo,76.0,3.0,29.0,44.0,0.0,2532.0,9.0,0.4
135,Ethiopia,74.0,3.0,14.0,57.0,0.0,4110.0,0.6,0.03
136,Jamaica,72.0,4.0,16.0,52.0,0.0,907.0,24.0,1.0
137,Barbados,71.0,4.0,11.0,56.0,4.0,805.0,247.0,14.0
138,Congo,60.0,5.0,5.0,50.0,0.0,0.0,11.0,0.9
139,Bermuda,57.0,4.0,29.0,24.0,2.0,416.0,915.0,64.0
140,Gabon,57.0,1.0,1.0,55.0,0.0,0.0,26.0,0.4
141,Uganda,54.0,0.0,4.0,50.0,0.0,5025.0,1.0,0.0
142,Cayman Islands,53.0,1.0,6.0,46.0,3.0,536.0,806.0,15.0
143,French Polynesia,53.0,0.0,0.0,53.0,1.0,889.0,189.0,0.0
144,Sint Maarten,50.0,9.0,5.0,36.0,2.0,134.0,1166.0,210.0
145,Liberia,50.0,5.0,4.0,41.0,0.0,0.0,10.0,1.0
146,Bahamas,47.0,8.0,6.0,33.0,1.0,0.0,120.0,20.0
147,Tanzania,46.0,3.0,7.0,36.0,0.0,0.0,0.8,0.05
148,Guyana,45.0,6.0,8.0,31.0,3.0,193.0,57.0,8.0
149,Macao,45.0,0.0,10.0,35.0,1.0,0.0,69.0,0.0
150,Zambia,43.0,2.0,30.0,11.0,1.0,1239.0,2.0,0.1
151,Myanmar,41.0,4.0,2.0,35.0,0.0,1406.0,0.8,0.07
152,Guinea-Bissau,38.0,0.0,0.0,38.0,0.0,1500.0,19.0,0.0
153,Benin,35.0,1.0,5.0,29.0,0.0,0.0,3.0,0.08
154,Eritrea,34.0,0.0,0.0,34.0,0.0,0.0,10.0,0.0
155,Haiti,33.0,3.0,0.0,30.0,0.0,365.0,3.0,0.3
156,Saint Martin,32.0,2.0,11.0,19.0,5.0,0.0,828.0,52.0
157,Somalia,25.0,0.0,2.0,23.0,2.0,0.0,2.0,0.1
158,Syria,25.0,2.0,5.0,18.0,0.0,0.0,1.0,0.1
159,Libya,25.0,1.0,9.0,15.0,0.0,535.0,4.0,0.1
160,Antigua and Barbuda,23.0,2.0,0.0,21.0,1.0,40.0,235.0,20.0
161,Equatorial Guinea,21.0,0.0,3.0,18.0,0.0,854.0,15.0,0.0
162,Mozambique,21.0,0.0,2.0,19.0,0.0,679.0,0.7,0.0
163,Maldives,20.0,0.0,14.0,6.0,0.0,0.0,37.0,0.0
164,Angola,19.0,2.0,4.0,13.0,0.0,0.0,0.6,0.06
165,Sudan,19.0,2.0,4.0,13.0,0.0,0.0,0.4,0.05
166,Laos,19.0,0.0,0.0,19.0,0.0,1140.0,3.0,0.0
167,Chad,18.0,0.0,2.0,16.0,0.0,0.0,1.0,0.0
168,New Caledonia,18.0,0.0,1.0,17.0,0.0,2608.0,63.0,0.0
169,Mongolia,17.0,0.0,4.0,13.0,0.0,0.0,5.0,0.0
170,Dominica,16.0,0.0,8.0,8.0,0.0,345.0,222.0,0.0
171,Fiji,16.0,0.0,0.0,16.0,0.0,0.0,18.0,0.0
172,Namibia,16.0,0.0,3.0,13.0,0.0,362.0,6.0,0.0
173,Saint Lucia,15.0,0.0,4.0,11.0,0.0,0.0,82.0,0.0
174,Zimbabwe,14.0,3.0,0.0,11.0,0.0,563.0,0.9,0.2
175,Belize,14.0,2.0,0.0,12.0,1.0,364.0,35.0,5.0
176,Curaçao,14.0,1.0,8.0,5.0,0.0,0.0,85.0,6.0
177,Nepal,14.0,0.0,1.0,13.0,0.0,5184.0,0.5,0.0
178,Grenada,14.0,0.0,0.0,14.0,2.0,92.0,124.0,0.0
179,Eswatini,14.0,0.0,7.0,7.0,0.0,0.0,12.0,0.0
180,Malawi,13.0,2.0,0.0,11.0,1.0,287.0,0.7,0.1
181,Botswana,13.0,1.0,0.0,12.0,0.0,3115.0,6.0,0.4
182,Saint Kitts and Nevis,12.0,0.0,0.0,12.0,0.0,216.0,226.0,0.0
183,St. Vincent Grenadines,12.0,0.0,1.0,11.0,0.0,56.0,108.0,0.0
184,CAR,11.0,0.0,3.0,8.0,0.0,0.0,2.0,0.0
185,Greenland,11.0,0.0,11.0,0.0,0.0,912.0,194.0,0.0
186,Montserrat,11.0,0.0,1.0,10.0,1.0,36.0,2204.0,0.0
187,Seychelles,11.0,0.0,0.0,11.0,0.0,0.0,112.0,0.0
188,Cabo Verde,10.0,1.0,1.0,8.0,0.0,0.0,18.0,2.0
189,Suriname,10.0,1.0,4.0,5.0,0.0,0.0,17.0,2.0
190,Sierra Leone,10.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0
191,MS Zaandam,9.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0
192,Gambia,9.0,1.0,2.0,6.0,0.0,281.0,4.0,0.4
193,Nicaragua,9.0,1.0,4.0,4.0,0.0,0.0,1.0,0.2
194,Turks and Caicos,9.0,1.0,0.0,8.0,0.0,62.0,232.0,26.0
195,Vatican City,8.0,0.0,2.0,6.0,0.0,0.0,9988.0,0.0
196,Mauritania,7.0,1.0,2.0,4.0,0.0,496.0,2.0,0.2
197,St. Barth,6.0,0.0,4.0,2.0,0.0,0.0,607.0,0.0
198,Western Sahara,6.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0
199,Bhutan,5.0,0.0,2.0,3.0,0.0,1166.0,6.0,0.0
200,Burundi,5.0,0.0,0.0,5.0,0.0,0.0,0.4,0.0
201,Falkland Islands,5.0,0.0,1.0,4.0,0.0,137.0,1437.0,0.0
202,Sao Tome and Principe,4.0,0.0,0.0,4.0,0.0,19.0,18.0,0.0
203,South Sudan,4.0,0.0,0.0,4.0,0.0,0.0,0.4,0.0
204,Timor-Leste,4.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0
205,Anguilla,3.0,0.0,1.0,2.0,0.0,0.0,200.0,0.0
206,British Virgin Islands,3.0,0.0,2.0,1.0,0.0,0.0,99.0,0.0
207,Caribbean Netherlands,3.0,0.0,0.0,3.0,0.0,10.0,114.0,0.0
208,Papua New Guinea,2.0,0.0,0.0,2.0,0.0,72.0,0.2,0.0
209,Saint Pierre Miquelon,1.0,0.0,0.0,1.0,0.0,0.0,173.0,0.0
210,Yemen,1.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0
211,China,82160.0,3341.0,77663.0,1156.0,121.0,0.0,57.0,2.0
